Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Noida,27.5,5.0,16.7,25.9,23.9,81.5
2,Gurgaon,27.1,8.2,18.1,27.0,23.2,88.2
3,Mumbai,26.3,18.0,22.3,25.3,23.0,52.2
4,Navi Mumbai,25.9,9.9,18.2,27.5,19.0,80.3
5,Bangalore,25.8,8.7,17.6,26.0,21.1,135.6
6,Hyderabad,25.5,5.8,16.1,26.1,18.6,68.6
7,Ahmedabad,25.5,7.8,17.0,26.6,19.9,43.1
8,Delhi,25.4,7.5,16.8,23.4,22.5,64.5
9,Pune,24.7,6.7,16.0,24.6,21.0,96.2
10,Vadodara,24.1,3.3,14.1,25.3,17.5,51.0
11,Surat,24.0,13.1,18.8,25.0,16.5,34.4
12,Jaipur,23.8,5.1,14.8,22.8,16.8,40.3
13,Chennai,23.6,5.5,14.9,24.8,16.0,66.4
14,Chandigarh,23.5,5.3,14.8,21.5,19.5,74.9
15,Bhubaneswar,23.0,3.6,13.7,23.3,15.0,47.3
16,Bhopal,22.8,2.8,13.2,23.6,15.9,48.4
17,Kolkata,22.7,4.7,14.1,23.3,16.9,50.4
18,Kochi,22.4,4.5,13.8,24.2,12.4,69.6
19,Lucknow (Lakhnau),21.7,3.7,13.1,19.5,15.0,55.7
20,Coimbatore,21.1,3.9,12.8,22.3,12.7,48.7
21,Indore,21.1,3.6,12.7,21.1,17.2,64.8
