,Rating,Company Name,Job Title,Salary,Location,Employment_status,Job_roles,Rank,Local Purchasing Power Index,Total Expenses,Salary-to-Expenses Ratio,Salary-to-Purchasing Power Ratio
0,3.8,Sasken,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
1,4.5,Advanced Millennium Technologies,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
2,4.0,Unacademy,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
3,3.8,SnapBizz Cloudtech,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
4,4.4,Appoids Tech Solutions,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
5,4.2,Freelancer,Android Developer,100000,Bangalore,Full Time,Android,21,131.8,82.0,1219.51,758.73
6,3.7,SQUARE N CUBE,Android Developer,192000,Bangalore,Full Time,Android,21,131.8,82.0,2341.46,1456.75
7,3.1,Samsung R&D Institute India - Bangalore,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
8,3.7,DXMinds Technologies,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
9,3.6,Endeavour Software Technologies,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
10,3.6,Craft Silicon,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
11,3.9,Baronford & Associates,Android Developer,240000,Bangalore,Full Time,Android,21,131.8,82.0,2926.83,1820.94
12,3.7,Wibmo,Android Developer,900000,Bangalore,Full Time,Android,21,131.8,82.0,10975.61,6828.53
13,4.8,Retail Pulse,Android Developer - Intern,24000,Bangalore,Intern,Android,21,131.8,82.0,292.68,182.09
14,3.9,Bookmyshow,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
15,3.9,Knowledge Flex,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
16,3.6,Novopay Solutions,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
17,3.7,WealthEngine,Android Developer,360000,Bangalore,Full Time,Android,21,131.8,82.0,4390.24,2731.41
18,4.0,J.P. Morgan,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
19,3.6,Acviss,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
20,4.1,Fresher,Android Developer,408000,Bangalore,Full Time,Android,21,131.8,82.0,4975.61,3095.60
21,4.2,MedOnGo,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
22,4.0,Nuclei,Android Developer,800000,Bangalore,Full Time,Android,21,131.8,82.0,9756.10,6069.80
23,4.4,eSecForte Technologies,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
24,4.3,Moveinsync Technology Solutions,Android Developer,100000,Bangalore,Full Time,Android,21,131.8,82.0,1219.51,758.73
25,3.6,Tech Mahindra,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
26,4.0,ThiDiff Technologies,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
27,4.9,Retranz Infolabs,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
28,4.0,FicusLot,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
29,3.7,KrazyBee,Android Developer,708000,Bangalore,Full Time,Android,21,131.8,82.0,8634.15,5371.78
30,5.0,powerplay app,Android Developer - Intern,396000,Bangalore,Intern,Android,21,131.8,82.0,4829.27,3004.55
31,4.2,Dcoder,Android Developer,700000,Bangalore,Full Time,Android,21,131.8,82.0,8536.59,5311.08
32,4.6,Masai School,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
33,3.9,Integra Micro Software Services (P),Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
34,3.3,DocsApp,Android Developer,900000,Bangalore,Full Time,Android,21,131.8,82.0,10975.61,6828.53
35,5.0,Vispara Technosoft,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
36,4.3,Vmoksha Technologies,Android Developer,228000,Bangalore,Full Time,Android,21,131.8,82.0,2780.49,1729.89
37,2.9,Artoo,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
38,3.8,Edelweiss Financial Services,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
39,4.0,Hubbler,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
40,3.5,L&T Technology Services,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
41,3.0,Rossitek Mobile Apps Development,Android Developer,216000,Bangalore,Full Time,Android,21,131.8,82.0,2634.15,1638.85
42,1.0,Pricyfy,Android Developer,216000,Bangalore,Full Time,Android,21,131.8,82.0,2634.15,1638.85
43,2.9,MYNEWCAR,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
44,4.1,IBM,Android Developer,540000,Bangalore,Full Time,Android,21,131.8,82.0,6585.37,4097.12
45,3.7,Panel Coder Software Technologies,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
46,3.9,Knitter,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
47,3.8,3Embed Software Technologies,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
48,3.4,Web Digital Mantra,Android Developer,100000,Bangalore,Full Time,Android,21,131.8,82.0,1219.51,758.73
49,4.5,FitnyTech,Android Developer,252000,Bangalore,Full Time,Android,21,131.8,82.0,3073.17,1911.99
50,4.8,CRK Gida Technologies,Android Developer,700000,Bangalore,Full Time,Android,21,131.8,82.0,8536.59,5311.08
51,3.7,FuGenX Technologies,Android Developer,100000,Bangalore,Full Time,Android,21,131.8,82.0,1219.51,758.73
52,4.6,Outthinking,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
53,2.8,iMars Technologies,Android Developer,156000,Bangalore,Full Time,Android,21,131.8,82.0,1902.44,1183.61
54,4.7,GreedyGame,Android Developer - Intern,348000,Bangalore,Intern,Android,21,131.8,82.0,4243.90,2640.36
55,4.1,In Time Tec,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
56,4.3,IndGlobal,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
57,4.1,CYBERNETYX Interaktiv,Android Developer,864000,Bangalore,Full Time,Android,21,131.8,82.0,10536.59,6555.39
58,3.7,Karabi Software,Android Developer,120000,Bangalore,Full Time,Android,21,131.8,82.0,1463.41,910.47
59,4.3,Keyfalcon Solutions,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
60,3.9,ABCDEF,Android Developer,168000,Bangalore,Full Time,Android,21,131.8,82.0,2048.78,1274.66
61,4.6,Cumulations Technologies,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
62,4.2,Dcoder,Android Developer - Intern,96000,Bangalore,Intern,Android,21,131.8,82.0,1170.73,728.38
63,5.0,powerplay app,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
64,4.0,Fembuddy,Android Developer,420000,Bangalore,Full Time,Android,21,131.8,82.0,5121.95,3186.65
65,4.5,Blewsoft Technologies,Android Developer,240000,Bangalore,Full Time,Android,21,131.8,82.0,2926.83,1820.94
66,4.2,Across The Globe,Android Developer - Intern,72000,Bangalore,Intern,Android,21,131.8,82.0,878.05,546.28
67,3.9,HARMAN,Android Developer,700000,Bangalore,Full Time,Android,21,131.8,82.0,8536.59,5311.08
68,3.2,Oust Labs,Android Developer,396000,Bangalore,Full Time,Android,21,131.8,82.0,4829.27,3004.55
69,4.0,Kaskeid Designs,Android Developer,264000,Bangalore,Full Time,Android,21,131.8,82.0,3219.51,2003.03
70,3.6,TruKKer Technologies,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
71,3.3,Datamatics Global Services,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
72,3.1,Grabhouse,Android Developer,672000,Bangalore,Full Time,Android,21,131.8,82.0,8195.12,5098.63
73,2.8,Msewa Software Solution,Android Developer,276000,Bangalore,Full Time,Android,21,131.8,82.0,3365.85,2094.08
74,3.8,Honeywell,Android Developer,800000,Bangalore,Full Time,Android,21,131.8,82.0,9756.10,6069.80
75,3.7,Prematix Software Solution,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
76,3.4,Provab Technosoft,Android Developer,492000,Bangalore,Full Time,Android,21,131.8,82.0,6000.00,3732.93
77,3.0,Ai-Connect,Android Developer,600000,Bangalore,Full Time,Android,21,131.8,82.0,7317.07,4552.35
78,3.3,Idea infinity IT Solutions,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
79,3.1,Developer On Rent,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
80,4.0,OZOPROP Technologies,Android Developer,432000,Bangalore,Full Time,Android,21,131.8,82.0,5268.29,3277.69
81,3.7,ThinkTac,Android Developer - Intern,200000,Bangalore,Intern,Android,21,131.8,82.0,2439.02,1517.45
82,4.3,Ashwin Infotrron,Android Developer,1188000,Bangalore,Full Time,Android,21,131.8,82.0,14487.80,9013.66
83,4.5,Housejoy,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
84,5.0,Proven Solution,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
85,5.0,Blooms Mobility Technologies,Android Developer,300000,Bangalore,Full Time,Android,21,131.8,82.0,3658.54,2276.18
86,3.9,DT Consulting,Android Developer,1000000,Bangalore,Full Time,Android,21,131.8,82.0,12195.12,7587.25
87,4.8,Kartel Technosoft,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
88,3.9,Philips,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
89,3.4,Vensure Employer Services,Android Developer,732000,Bangalore,Full Time,Android,21,131.8,82.0,8926.83,5553.87
90,4.5,QuHu,Android Developer - Intern,120000,Bangalore,Intern,Android,21,131.8,82.0,1463.41,910.47
91,4.1,Software Developers,Android Developer,684000,Bangalore,Full Time,Android,21,131.8,82.0,8341.46,5189.68
92,4.0,Livwell holding,Android Developer,500000,Bangalore,Full Time,Android,21,131.8,82.0,6097.56,3793.63
93,3.8,Uolo Technology,Android Developer,800000,Bangalore,Full Time,Android,21,131.8,82.0,9756.10,6069.80
94,3.3,MSL Learning Systems,Android Developer,400000,Bangalore,Full Time,Android,21,131.8,82.0,4878.05,3034.90
95,4.8,Fermedicius Labs,Android Developer,200000,Bangalore,Full Time,Android,21,131.8,82.0,2439.02,1517.45
96,4.1,Dunzo,Android Developer,2800000,Bangalore,Full Time,Android,21,131.8,82.0,34146.34,21244.31
97,3.7,ABC Tech,Android Developer,852000,Bangalore,Full Time,Android,21,131.8,82.0,10390.24,6464.34
98,4.3,SpurTree Technologies,Android Developer,700000,Bangalore,Full Time,Android,21,131.8,82.0,8536.59,5311.08
99,4.0,Grab (India),Android Developer,1200000,Bangalore,Full Time,Android,21,131.8,82.0,14634.15,9104.70
100,3.9,42Gears Mobility Systems,Android Developer,900000,Bangalore,Full Time,Android,21,131.8,82.0,10975.61,6828.53
